"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,5736,5823,-0.008,0.655,0.418,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",0,0,,,,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",0,0,,,,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",0,1,-1.000,1.386,0.239,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",3,2,0.200,0.201,0.654,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,0,,,,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",2,2,0.000,-0.000,1.000,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",0,2,-1.000,2.773,0.096,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",8,0,1.000,11.090,0.001,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",5,0,1.000,6.931,0.008,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",0,0,,,,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",1,7,-0.750,5.062,0.024,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",10,3,0.538,3.977,0.046,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",45,15,0.500,15.697,0.000,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",35,1,0.944,40.768,0.000,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",57,18,0.520,21.310,0.000,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",23,18,0.122,0.611,0.434,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",84,55,0.209,6.095,0.014,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",3,4,-0.143,0.143,0.705,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",15,8,0.304,2.165,0.141,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",54,28,0.317,8.388,0.004,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",159,62,0.439,44.059,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",241,140,0.265,27.097,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",386,350,0.049,1.762,0.184,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",284,238,0.088,4.059,0.044,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",3,1,0.500,1.046,0.306,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",6,4,0.200,0.403,0.526,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",42,49,-0.077,0.539,0.463,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",134,142,-0.029,0.232,0.630,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",412,552,-0.145,20.404,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",747,965,-0.127,27.835,0.000,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",0,2,-1.000,2.773,0.096,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",6,7,-0.077,0.077,0.781,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",55,96,-0.272,11.273,0.001,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",170,162,0.024,0.193,0.661,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",623,710,-0.065,5.682,0.017,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",5,6,-0.091,0.091,0.763,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",17,7,0.417,4.296,0.038,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",95,113,-0.087,1.560,0.212,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",224,282,-0.115,6.663,0.010,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",8,2,0.600,3.855,0.050,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",23,2,0.840,20.719,0.000,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",148,136,0.042,0.507,0.476,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",5,12,-0.412,2.970,0.085,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",41,48,-0.079,0.551,0.458,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",35,4,0.795,28.272,0.000,1
